,Artist,Title,Top100,URI,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Duration,Time_Signature
14279,technotronic,pump up the jam,1,21qnJAMtzC6S5SESuqQLEK,0.57,0.931,4,-5.78,0,0.0503,0.0429,0.0,0.375,0.4,105.37,247307,4
14280,paula abdul,opposites attract,1,7z38bideBRvGAgjXe2SECm,0.491,0.957,11,-3.67,1,0.096,0.00853,0.000879,0.371,0.635,158.067,223733,4
14281,janet jackson,escapade,1,5HAv1Ckfe50DUjv8ghwTrz,0.476,0.901,8,-6.751,1,0.0975,0.0642,0.158,0.0557,0.109,91.955,353787,4
14282,heart,all i wanna do is make love to you,1,5YjKdeES9QRJ8NmF4Xc8pV,0.449,0.907,4,-3.41,1,0.0355,0.0107,0.0,0.272,0.815,128.913,209173,4
14283,maxi priest,close to you,1,33I3oS8UkebR3KRvqxD9X0,0.679,0.866,0,-6.053,1,0.0635,0.00376,3.1e-05,0.312,0.785,124.324,201400,4
14284,alannah myles,black velvet,1,1KU5EHSz04JhGg3rReGJ0N,0.524,0.886,9,-9.154,1,0.0385,0.00566,0.00182,0.331,0.511,132.446,235733,4
14285,linda ronstadt,don't know much,1,5z3ZDMP02xF33yCvPFnct3,0.295,0.68,1,-6.126,0,0.0445,0.0197,2.5e-05,0.125,0.338,156.517,260680,4
14286,lisa stansfield,all around the world,1,1DapqOfkDAQCiKnvfwKo0g,0.493,0.928,2,-9.755,1,0.101,0.0353,1.29e-06,0.496,0.386,113.109,285015,4
14287,calloway,i wanna be rich,1,5bqNu0YfNOZpgl34bcJiFQ,0.285,0.825,1,-7.049,0,0.0466,0.000826,0.0,0.268,0.516,164.611,223533,4
14288,johnny gill,rub you the right way,1,40xz60ciGIpsRtDqRfPKBE,0.493,0.866,0,-5.665,1,0.0976,0.00178,2.23e-05,0.0775,0.489,131.06,271520,4
14289,glenn medeiros,she ain't worth it,1,3Mn0WiIUimQrekCDxzaCGV,0.479,0.822,4,-6.412,0,0.0444,0.00434,4.76e-06,0.0843,0.562,130.035,255720,4
14290,sweet sensation,if wishes came true,1,5gAdATsfINRIljv4LbrKX2,0.328,0.938,9,-7.241,1,0.083,0.0165,0.0016,0.0835,0.762,171.707,249133,4
14291,snap!,the power,1,3P5dVXm98CgVuEpcW2HsUk,0.49,0.86,7,-5.284,0,0.0573,0.132,0.0,0.215,0.795,132.673,241893,4
14292,nelson,(can't live without your) love and affection,1,3JjY2L2bqql54j1SjnjQ23,0.619,0.751,7,-11.568,0,0.0417,0.0113,7.87e-05,0.123,0.532,126.079,265333,4
14293,taylor dayne,love will lead you back,1,3HLgjHYaEhKFvV4SSvI9Te,0.562,0.991,7,-2.654,1,0.0745,0.0373,1.14e-05,0.425,0.266,118.004,263560,4
14294,jane child,don't wanna fall in love,1,6eozUVzr02EXMji1vuxgiP,0.468,0.743,0,-10.846,1,0.0325,0.00819,8.34e-05,0.369,0.651,156.099,241800,4
14295,seduction,two to make it right,1,6GS6uE1vDmtzxO8GztAR2O,0.606,0.879,0,-5.203,1,0.0358,0.0101,0.000709,0.363,0.404,115.072,281667,4
14296,linear,sending all my love,1,6zNPPFFrxmhpTQejOn1Wm1,0.509,0.935,6,-3.633,1,0.0493,0.00864,1.17e-06,0.255,0.501,148.062,238200,4
14297,poison,unskinny bop,1,1Z6lKdYhwp8WYoBqGCKxlM,0.5,0.946,5,-5.428,1,0.072,0.0221,4.21e-05,0.068,0.449,94.542,194987,4
14298,roxette,dangerous,1,7F7CoxV8TzZUpjUu7qiQPQ,0.537,0.9,9,-11.88,1,0.0301,0.00575,0.000156,0.2,0.549,132.742,222467,4
14299,billy joel,we didn't start the fire,1,3Cx4yrFaX8CeHwBMReOWXI,0.445,0.768,4,-8.836,1,0.0347,0.0127,2.58e-06,0.0925,0.32,112.796,318227,4
14300,james ingram,i don't have the heart,1,5In7xBveNACCRX2uWNoPuW,0.61,0.824,4,-6.046,1,0.0534,0.0136,1.75e-06,0.0606,0.819,134.992,210133,4
14301,rod stewart,downtown train,1,5XJzh2c0roCc6GDs8PrILx,0.372,0.857,5,-7.816,0,0.0461,0.0604,9.42e-05,0.187,0.389,146.084,312400,4
14302,janet jackson,rhythm nation,1,1L2nC4gabvxYtdvvzwd9RL,0.303,0.961,9,-5.333,0,0.243,0.00253,6.2e-05,0.132,0.305,146.591,257120,4
14303,tommy page,i'll be your everything,1,4K0fYuC7qJx5P7Yh0Ch2zo,0.542,0.839,3,-4.404,0,0.0487,4.91e-05,0.0,0.0471,0.611,121.026,273013,4
14304,the b-52's,roam,1,5fqcIHU6DhQtFKVO5XSdQs,0.518,0.938,8,-5.964,0,0.0416,0.021,0.000305,0.288,0.71,139.138,227800,4
14305,jody watley,everything,1,5p4xF15jnsw1rfi55Gv1lU,0.547,0.454,7,-12.571,0,0.0251,0.0761,0.0015,0.145,0.308,148.064,258787,4
14306,soul ii soul,back to life (however do you want me),1,7ELuWpsuVCRBnOR9ZAZKDp,0.466,0.922,0,-7.847,0,0.157,0.0871,0.000838,0.69,0.201,91.122,318200,4
14307,luther vandross,here and now,1,042pmCix7CPth3l3X28jl1,0.552,0.947,2,-4.671,1,0.15,0.000652,0.00025,0.0637,0.465,127.631,282747,4
14308,janet jackson,alright,1,5WKmWObB3DxGHMb3n3ehn2,0.616,0.807,8,-11.4,1,0.0348,0.000303,2.37e-05,0.193,0.637,111.054,235360,4
14309,vanilla ice,ice ice baby,1,3XVozq1aeqsJwpXrEZrDJ9,0.508,0.727,0,-6.159,1,0.0346,0.0475,3.86e-05,0.0869,0.249,121.323,344613,4
14310,mc hammer,have you seen her,1,2lvk6CUSHz4j8huQ25gH54,0.601,0.859,5,-5.264,1,0.0276,0.000359,0.00124,0.0871,0.446,125.144,258027,4
14311,taylor dayne,with every beat of my heart,1,3hK26G5cYhJ9KjcUy1aBRk,0.412,0.658,4,-12.051,0,0.0708,4.52e-05,0.000774,0.176,0.454,163.071,168406,4
14312,janet jackson,come back to me,1,3vuZbdgmlcU54kyPUWrai0,0.523,0.832,4,-7.364,0,0.0508,0.00783,0.0,0.201,0.507,125.32,231707,4
14313,michel'le,no more lies,1,1Oz5bcZyzhiaEa3F06EiPY,0.571,0.727,8,-6.358,1,0.0716,0.196,3.97e-05,0.21,0.321,126.581,240893,4
14314,george michael,praying for time,1,72LKSYwvDYp9acfM5TEgBK,0.282,0.656,8,-6.557,1,0.0302,0.0105,0.0,0.0892,0.242,139.352,251867,4
14315,michael bolton,how can we be lovers,1,0ZUjPkZKjzRi6bgIuJovfY,0.472,0.9,8,-6.406,0,0.0582,0.148,0.000297,0.34,0.42,95.826,214960,4
14316,phil collins,do you remember?,1,3TLtCHUaiMHcQcJVGVW2p2,0.733,0.726,7,-6.514,1,0.0371,0.379,2.58e-06,0.471,0.915,120.814,197160,4
14317,after 7,ready or not,1,6AgDFWLbbAt2migXMbrhXT,0.452,0.524,0,-10.108,1,0.0351,0.315,0.0,0.103,0.246,151.505,312360,4
14318,mc hammer,u can't touch this,1,1B75hgRqe7A4fwee3g3Wmu,0.398,0.57,4,-7.068,1,0.034,0.056,0.00125,0.0606,0.234,140.974,304213,4
14319,phil collins,i wish it would rain down,1,4F2t297QK40XFcIHqkmLHs,0.588,0.656,3,-6.373,1,0.0224,0.378,0.00227,0.042,0.746,79.701,212933,4
14320,lou gramm,just between you and me,1,1fMvhGvNGrumP5MKKDf61e,0.476,0.528,4,-8.216,1,0.0299,0.174,0.0,0.193,0.349,77.253,209907,4
14321,phil collins,something happened on the way to heaven,1,4ziqqoW1o3P5EhNqK6CPb1,0.482,0.211,3,-14.518,1,0.0318,0.803,1.36e-05,0.154,0.158,116.902,211000,4
14322,janet jackson,black cat,1,4tYpYYoOI7WDxbCnPninwE,0.461,0.275,10,-12.331,1,0.0259,0.745,0.000219,0.126,0.124,93.126,268293,4
14323,after 7,can't stop,1,1TYt5etb427hvOod3EKJA5,0.186,0.457,10,-15.055,1,0.035,0.842,0.598,0.361,0.657,190.969,182857,3
14324,aerosmith,janie's got a gun,1,5fMwvrqujbQjUxcNPcYrUF,0.636,0.181,7,-19.637,1,0.0288,0.784,0.0211,0.0706,0.441,137.727,251400,4
14325,digital underground,the humpty dance,1,0YEC3pNS0uIKvZb5u4lgsu,0.553,0.614,1,-5.098,1,0.0306,0.764,0.0,0.0811,0.345,136.628,242679,4
14326,taylor dayne,i'll be your shelter,1,4hbXvRJfgctBgz7PVBtWQu,0.587,0.237,0,-18.466,1,0.0272,0.0766,0.0,0.139,0.366,84.764,211933,4
14327,tom petty,free fallin',1,5tVA6TkbaAH9QMITTQRrNv,0.445,0.554,3,-7.793,0,0.0315,0.231,0.0,0.0685,0.229,162.081,285666,4
14328,pebbles,giving you the benefit,1,2nNKXDFRz6cog1kolC3efq,0.677,0.509,5,-7.472,1,0.0252,0.114,0.0134,0.0659,0.525,93.042,275987,4
14329,depeche mode,enjoy the silence,1,1JekRMGQ8iN4G1AAdh0SBa,0.539,0.583,1,-4.935,0,0.0275,0.108,0.0,0.111,0.337,86.063,328093,4
14330,tesla,love song,1,0vJUdIefT5caKla9H8b1q4,0.52,0.61,5,-7.935,1,0.0282,0.0805,2.95e-06,0.276,0.329,144.983,258333,4
14331,bad english,price of love,1,56y9EmjGAAejQ6QX9blIGI,0.43,0.0951,7,-19.725,1,0.0716,0.994,0.897,0.171,0.233,77.505,319787,4
14332,tyler collins,girls nite out,1,19MkwMrRjO7773zpuGss1o,0.548,0.294,10,-17.112,1,0.0333,0.332,3.34e-06,0.0392,0.491,76.698,256173,4
14333,go west,king of wishful thinking,1,0gXTCSzaCOzNoRb9FeE62N,0.58,0.498,1,-6.901,1,0.0277,0.198,0.0,0.132,0.111,116.271,206360,4
14334,chicago,what kind of man would i be?,1,024t97fsjL7a2cxUlVsStn,0.572,0.721,5,-8.959,1,0.0402,0.187,7.41e-06,0.216,0.844,164.252,267000,4
14335,skid row,i remember you,1,1xqVri47rxr9oRpUgJa8rf,0.477,0.471,6,-10.036,1,0.0277,0.193,1.76e-06,0.131,0.423,81.204,304787,4
14336,technotronic,get up! (before the night is over),1,2MOOJh1xUgND4rLjB6h4jY,0.638,0.352,10,-9.266,1,0.0268,0.492,0.0,0.105,0.204,94.173,204000,3
